"","Barn [kW]","Dishwasher [kW]","Fridge [kW]","Furnace 1 [kW]","Furnace 2 [kW]","Garage door [kW]","Home office [kW]","Kitchen 12 [kW]","Kitchen 14 [kW]","Kitchen 38 [kW]","Living room [kW]","Microwave [kW]","Well [kW]","Wine cellar [kW]","dewPoint","gen [kW]","humidity","precipIntensity","precipProbability","pressure","temperature","use [kW]","visibility","windBearing","windSpeed"
"gen [kW]",0.014727382180970255,0.027303378424898113,-0.012340512687385986,-0.022995604041679097,-0.09427477662462004,0.03755128293486652,-0.07074305494497574,-0.0015938185901503703,0.008402211621302022,0.022855934891230147,-0.04288183323019046,-0.0020751909683037408,-0.0033374969221577843,0.04800074879794343,0.07680918071463676,1.0,0.01143368014108241,0.029188049903755814,0.04512944316575098,0.0033985993482260066,0.07494634485596693,-0.04632608831041909,-0.011100201914734873,-0.0082509212214132,-0.046113738505408466
"humidity",0.007317228657466724,-0.003029827713427721,0.021612147792787223,-0.036053515128970745,-0.027766851232380017,0.016070440756651674,-0.001583622156984034,0.022303912539511438,-0.003367710809394292,-0.02734807646311207,0.002366407689873449,0.021109703695790925,0.0010806328782367372,0.0457703834358843,0.3120239305600894,0.01143368014108241,1.0,0.2025495681552177,0.2705690471682453,-0.11539022913401555,-0.0807176210870625,-0.006934001831228464,-0.4312550061960524,-0.18902018532393589,-0.37470943821738384
"precipIntensity",0.0039428928235271795,0.005861302761454909,0.019319842258856076,-0.005171362284563459,0.01854997365956567,-0.004544829667313132,-0.02368981575153647,-0.011908239072808437,-0.009877054228917206,-0.027602727022945348,-0.008592692995004468,0.03357417762565311,0.0036264625279979657,0.013677517556662789,0.11214976905664566,0.029188049903755814,0.2025495681552177,1.0,0.6692706014941849,-0.15604936946980238,0.03170509358401089,0.012171241256170017,-0.3446177582938691,-0.0875847899313295,-0.0108410970115383
"precipProbability",-0.00543240004046102,0.010995615690478931,0.005622442913378742,-0.0036644197153130847,0.00027454128905138103,-0.010278929803204849,-0.030360911136515078,-0.01583807336345681,-0.010369251932919288,-0.01300399103253315,-0.009548966336921063,0.01757627930829447,9.97736879755729e-06,0.0029244813334624495,0.14004031785166465,0.04512944316575098,0.2705690471682453,0.6692706014941849,1.0,-0.19118901651321238,0.03243972702453379,-0.0057841771768281335,-0.4078401474146668,-0.1244245073361426,-0.02656103360419144
"pressure",0.009703229784818135,-0.008249714005274609,-0.0022159337927647104,-0.004738869987581551,0.009431998456788247,0.005405371995635515,0.013732869311698193,0.01370921712210815,0.003972212624823829,-0.012537357946131755,0.011088899744507885,-0.005202018879904515,0.015203495780053887,0.011005222035897544,-0.2092747182267593,0.0033985993482260066,-0.11539022913401555,-0.15604936946980238,-0.19118901651321238,1.0,-0.1554461018393093,0.014147032016986597,0.14094868132903812,-0.13375458023905343,-0.2084862880820774
"temperature",-0.02890037979035429,-0.018576432066021872,0.09126331071429974,-0.2506308794225772,-0.1951850359831197,0.0055638235860316024,0.00747803288724873,-0.009238679547675852,-0.03435151957146351,-0.04485245698445058,-0.0404880609941059,-0.012447346365074807,-0.02247619884978687,0.23649268629241393,0.7449700005495364,0.07494634485596693,-0.0807176210870625,0.03170509358401089,0.03243972702453379,-0.1554461018393093,1.0,-0.16071318512132943,0.09240334439242334,-0.039599979327104365,-0.05260754227650206
"use [kW]",0.40517176553621576,0.4249360080788861,0.17688995969165677,0.4333608934294891,0.45132117889672024,0.012643155460596446,0.2181186900985068,0.09476189366292413,0.17507456691241102,0.06742331119898323,0.3000970856586891,0.2148472477302467,0.3549635039519062,0.10826323722896751,-0.14986034839145496,-0.04632608831041909,-0.006934001831228464,0.012171241256170017,-0.0057841771768281335,0.014147032016986597,-0.16071318512132943,1.0,-0.025889966908962423,0.016749065264417808,0.014243326882910084
"visibility",0.0012798765559058104,-0.010357385820309132,0.0011432318525840624,-0.049233645309109494,-0.009612903240680148,0.00032506526054225854,0.015036517803255212,-0.02213887986131827,0.0076638346759949905,0.01746369828349339,-0.013912811057156534,-0.029507868809437246,0.00549335701036769,0.016955155891138357,-0.07113605012793901,-0.011100201914734873,-0.4312550061960524,-0.3446177582938691,-0.4078401474146668,0.14094868132903812,0.09240334439242334,-0.025889966908962423,1.0,0.1496248809243452,0.1572525860269287
"windBearing",0.0011179468361982325,0.008665832427944133,-0.011287918396068325,0.03401683949559758,0.01038818180564494,0.0019520275652872743,0.010268963426031218,-0.011890400299711478,0.010390432613638123,0.003765204581568825,0.010847042844724535,-0.009612575148878743,-0.005751308619526403,-0.02640516451916651,-0.12142207136763739,-0.0082509212214132,-0.18902018532393589,-0.0875847899313295,-0.1244245073361426,-0.13375458023905343,-0.039599979327104365,0.016749065264417808,0.1496248809243452,1.0,0.18973084836237636
"windSpeed",-0.021295674513048257,-0.003934990297842351,-0.0199083530468319,0.06913355614710281,0.056239405186020205,-0.019751484942734557,-0.011807638018345801,-0.02518748696819261,-0.007909120010745967,0.009306148545061274,-0.005339567143608403,-0.01951844045310699,-0.0061167778702232185,-0.045895981323656035,-0.19943570929524806,-0.046113738505408466,-0.37470943821738384,-0.0108410970115383,-0.02656103360419144,-0.2084862880820774,-0.05260754227650206,0.014243326882910084,0.1572525860269287,0.18973084836237636,1.0
